Name,BSE Code,NSE Code,Market Capitalization
Affle 3i,542752,AFFLE,20583.71
Belrise Industri,544405,BELRISE,20449.45
Astrazeneca Phar,506820,ASTRAZEN,20368.51
Hatsun Agro,531531,HATSUN,20314.63
IndiGrid Trust,540565,INDIGRID,20269.19
GE Shipping Co,500620,GESHIP,20191.51
Anant Raj,515055,ANANTRAJ,20158.48
IFCI,500106,IFCI,20075.3
Triveni Turbine,533655,TRITURBINE,19963.76
Sansera Enginee.,543358,SANSERA,19773.49
Caplin Point Lab,524742,CAPLIPOINT,19749.32
ERIS Lifescience,540596,ERIS,19680.93
Sun TV Network,532733,SUNTV,19664.81
Deepak Fertilis.,500645,DEEPAKFERT,19645.13
Sundram Fasten.,500403,SUNDRMFAST,19572.42
Sammaan Capital,535789,SAMMAANCAP,19548.74
Ola Electric,544225,OLAELEC,19513.34
G M D C,532181,GMDCLTD,19229.46
Sagility,544282,SAGILITY,19216.85
Kajaria Ceramics,500233,KAJARIACER,19197.21
Cams Services,543232,CAMS,19177.56
Allied Blenders,544203,ABDL,19051.07
Central Mine Pla,544739,CMPDI,18921
SPR Auto Technologies,544344,SHRIPISTON,18811.06
Atul,500027,ATUL,18810.33
Bayer Crop Sci.,506285,BAYERCROP,18794.09
Elgi Equipments,522074,ELGIEQUIP,18735.66
Chambal Fert.,500085,CHAMBLFERT,18658.38
OneSource Speci.,544292,ONESOURCE,18600.72
JSW Cement,544480,JSWCEMENT,18569.03
Vardhman Textile,502986,VTL,18551.06
J & K Bank,532209,J&KBANK,18433.79
Zydus Wellness,531335,ZYDUSWELL,18367.49
Ratnamani Metals,520111,RATNAMANI,18347.98
Gabriel India,505714,GABRIEL,18300.26
Tata Chemicals,500770,TATACHEM,18272.62
Castrol India,500870,CASTROLIND,18239.41
Emami,531162,EMAMILTD,18184.63
Prime Focus,532748,PFOCUS,18100
Aether Industri.,543534,AETHER,17964.03
Jyoti CNC Auto.,544081,JYOTICNC,17625.28
Bharat Coking,544678,BHARATCOAL,17617.5
Pun. & Sind Bank,533295,PSB,17611.24
Chalet Hotels,542399,CHALET,17604.93
Astra Microwave,532493,ASTRAMICRO,17557.68
CIE Automotive,532756,CIEINDIA,17543.63
Sarda Energy,504614,SARDAEN,17504.54
Natco Pharma,524816,NATCOPHARM,17494.56
Choice Intl.,531358,CHOICEIN,17487.95
Aarti Industries,524208,AARTIIND,17400
Travel Food,544443,TRAVELFOOD,17315.86
Firstsour.Solu.,532809,FSL,17251.48
Inox India,544046,INOXINDIA,17153.86
Aequs,544634,AEQUS,17115.36
Crompton Gr. Con,539876,CROMPTON,17112
Zen Technologies,533339,ZENTEC,17077.5
Nava,513023,NAVA,16999.54
Syngene Intl.,539268,SYNGENE,16970.25
Godawari Power,532734,GPIL,16948.61
Century Plyboard,532548,CENTURYPLY,16941.8
Brigade Enterpr.,532929,BRIGADE,16918.09
